Organization,category_list, market , funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H
3play-media,|Software|, Software ," 10,11,601 ",operating,USA,MA,Boston,Cambridge,3,1/1/2007,2007-01,2007-Q1,2007,2/8/2010,10/21/2011,50000,961601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3scan,|Biotechnology|, Biotechnology ," 3,90,000 ",operating,USA,CA,SF Bay Area,San Francisco,3,1/1/2011,2011-01,2011-Q1,2011,8/31/2011,7/16/2013,40000,0,0,0,0,0,0,350000,0,0,0,0,0,0,0,0,0,0,0,0,0
3seventy,|Software|, Software ," 20,00,000 ",operating,USA,TX,Austin,Austin,1,1/1/2008,2008-01,2008-Q1,2008,8/19/2011,8/19/2011,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3ten8,|Software|, Software ," 10,00,000 ",operating,USA,CA,SF Bay Area,Santa Clara,1,8/15/2013,2013-08,2013-Q3,2013,9/1/2014,9/1/2014,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3tier-environmental-forecast-group,|Clean Technology|, Clean Technology ," 1,50,00,000 ",acquired,USA,WA,Seattle,Seattle,3,1/1/1999,1999-01,1999-Q1,1999,9/5/2007,2/25/2010,0,15000000,0,0,0,0,0,0,0,0,0,0,0,0,2000000,0,0,0,0,0,0
3vr-security,|Security|, Security ," 5,65,67,194 ",operating,USA,CA,SF Bay Area,San Francisco,6,1/1/2002,2002-01,2002-Q1,2002,1/17/2006,10/4/2013,0,53000000,0,0,0,3567194,0,0,0,0,0,0,0,5000000,10000000,9000000,12000000,17000000,0,0,0
3x-systems,|Flash Storage|Security|, Flash Storage ," 33,93,925 ",operating,USA,OH,"Columbus, Ohio",Columbus,2,11/1/2007,2007-11,2007-Q4,2007,2/20/2008,5/26/2010,0,3393925,0,0,0,0,0,0,0,0,0,0,0,1700000,0,0,0,0,0,0,0
4-tell,|E-Commerce|, E-Commerce ," 22,34,979 ",operating,USA,WA,WA - Other,Stevenson,5,4/1/2009,2009-04,2009-Q2,2009,7/1/2011,7/26/2013,25000,1959979,0,0,0,250000,0,0,0,0,0,0,0,1000000,0,0,0,0,0,0,0
405labs,|Machine Learning|Network Security|, Machine Learning ,"81,000",operating,USA,CA,San Diego,San Diego,1,1/1/2014,2014-01,2014-Q1,2014,10/22/2014,10/22/2014,0,81000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40billion-com,|Venture Capital|Peer-to-Peer|Networking|Finance|Entrepreneur|Crowdfunding|Social Media|, Entrepreneur ," 10,50,000 ",operating,USA,GA,Atlanta,Atlanta,3,1/23/2008,2008-01,2008-Q1,2008,4/1/2008,6/1/2010,1050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410-labs,|Messaging|, Messaging ," 7,50,000 ",operating,USA,MD,Baltimore,Baltimore,1,1/1/2010,2010-01,2010-Q1,2010,7/11/2011,7/11/2011,0,750000,0,0,0,0,0,0,0,0,0,0,0,750000,0,0,0,0,0,0,0
41st-parameter,|Security|, Security ," 3,80,64,570 ",acquired,USA,CA,SF Bay Area,San Jose,4,1/1/2004,2004-01,2004-Q1,2004,5/8/2006,4/11/2012,0,38064570,0,0,0,0,0,0,0,0,0,0,0,0,11200000,10070000,13000000,0,0,0,0
42,|Enterprise Software|, Enterprise Software ," 8,00,000 ",operating,USA,CA,SF Bay Area,San Francisco,2,1/1/2013,2013-01,2013-Q1,2013,2/21/2013,5/16/2014,800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422-group,|Software|, Software ," 10,00,000 ",operating,USA,GA,Atlanta,Tucker,1,1/1/2004,2004-01,2004-Q1,2004,6/15/2010,6/15/2010,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42floors,|Commercial Real Estate|Real Estate|, Commercial Real Estate ," 1,74,00,000 ",operating,USA,CA,SF Bay Area,San Francisco,4,1/1/2011,2011-01,2011-Q1,2011,9/1/2011,1/31/2013,400000,17000000,0,0,0,0,0,0,0,0,0,0,0,5000000,12000000,0,0,0,0,0,0
480-biomedical,|Biotechnology|, Biotechnology ," 3,79,56,999 ",operating,USA,MA,Boston,Watertown,3,1/1/2011,2011-01,2011-Q1,2011,2/14/2012,4/12/2013,0,32956999,0,0,0,5000000,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0
490-entertainment,|Entertainment|Games|, Games ," 4,50,000 ",operating,USA,NY,Long Island,Smithtown,1,5/1/1991,1991-05,1991-Q2,1991,8/15/2014,8/15/2014,0,0,450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4cable-tv,|Clean Technology|, Clean Technology ,"20,900",operating,USA,SC,Myrtle Beach,Conway,1,1/1/2005,2005-01,2005-Q1,2005,10/7/2013,10/7/2013,20900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4dk-technologies,|Mobile|, Mobile ," 33,78,975 ",operating,USA,VA,"Washington, D.C.",Herndon,1,1/1/2005,2005-01,2005-Q1,2005,12/12/2011,12/12/2011,0,0,0,0,0,0,0,0,3378975,0,0,0,0,0,0,0,0,0,0,0,0
